uid,label_date,sleep_score,accel_longest_still_period,accel_movement_ratio_full_window,accel_mean_mag_full_window,accel_std_mag_full_window,accel_entropy_full_window,accel_movement_ratio_day,accel_mean_mag_day,accel_std_mag_day,accel_entropy_day,accel_movement_ratio_pre_sleep,accel_mean_mag_pre_sleep,accel_std_mag_pre_sleep,accel_entropy_pre_sleep,accel_movement_ratio_sleep,accel_mean_mag_sleep,accel_std_mag_sleep,accel_entropy_sleep,light_mean_full_window,light_max_full_window,light_entropy_full_window,light_high_duration_full_window,light_mean_day,light_max_day,light_entropy_day,light_high_duration_day,light_mean_pre_sleep,light_max_pre_sleep,light_entropy_pre_sleep,light_high_duration_pre_sleep,light_mean_sleep,light_max_sleep,light_entropy_sleep,light_high_duration_sleep,light_last_peak_time,screen_events_full_window,screen_inter_event_std_full_window,screen_total_duration_full_window,screen_avg_session_duration_full_window,screen_cluster_count_full_window,screen_events_day,screen_inter_event_std_day,screen_total_duration_day,screen_avg_session_duration_day,screen_cluster_count_day,screen_events_pre_sleep,screen_inter_event_std_pre_sleep,screen_total_duration_pre_sleep,screen_avg_session_duration_pre_sleep,screen_cluster_count_pre_sleep,screen_events_sleep,screen_inter_event_std_sleep,screen_total_duration_sleep,screen_avg_session_duration_sleep,screen_cluster_count_sleep,screen_last_on_time,screen_first_on_time_day,screen_gap_before_sleep,wifi_scans_full_window,wifi_unique_aps_full_window,wifi_mean_signal_full_window,wifi_signal_std_full_window,wifi_dominant_ap_ratio_full_window,wifi_entropy_full_window,wifi_strong_ap_ratio_full_window,wifi_scans_day,wifi_unique_aps_day,wifi_mean_signal_day,wifi_signal_std_day,wifi_dominant_ap_ratio_day,wifi_entropy_day,wifi_strong_ap_ratio_day,wifi_scans_pre_sleep,wifi_unique_aps_pre_sleep,wifi_mean_signal_pre_sleep,wifi_signal_std_pre_sleep,wifi_dominant_ap_ratio_pre_sleep,wifi_entropy_pre_sleep,wifi_strong_ap_ratio_pre_sleep,wifi_scans_sleep,wifi_unique_aps_sleep,wifi_mean_signal_sleep,wifi_signal_std_sleep,wifi_dominant_ap_ratio_sleep,wifi_entropy_sleep,wifi_strong_ap_ratio_sleep,location_mobility_duration_full_window,location_immobility_duration_full_window,location_mobility_ratio_full_window,location_mobility_duration_day,location_immobility_duration_day,location_mobility_ratio_day,location_mobility_duration_pre_sleep,location_immobility_duration_pre_sleep,location_mobility_ratio_pre_sleep,location_mobility_duration_sleep,location_immobility_duration_sleep,location_mobility_ratio_sleep,calls_total_day,calls_duration_day,calls_total_pre_sleep,calls_duration_pre_sleep,calls_total_sleep,calls_duration_sleep,calls_num_incoming,calls_num_outgoing,calls_num_missed,calls_last_call_time,calls_first_call_next_day,circadian_screen_center,circadian_light_center,circadian_screen_misalignment,circadian_light_misalignment,screen_pre_sleep_ratio,screen_sleep_ratio,light_pre_sleep_ratio,light_sleep_ratio,screen_wind_down_slope,light_peak_hour_day,light_peak_hour_pre_sleep,light_peak_hour_sleep,accel_activity_hourly_std,calls_total_full_window,calls_duration_full_window
670,2025-04-28,6,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,,0.03333333333333333,60.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,2,,0.03333333333333333,60,0,4.666666666666667,-1.0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,4.4333333333333345,4.5,17.566666666666666,17.5,0.0,1.0,0.0,0.9836065573770492,-4,-1.0,-1.0,4.0,0,,
676,2025-04-28,5,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,-1.0,-1.0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0.48333333333333334,2.5166666666666666,0.16111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.48333333333333334,2.5166666666666666,0.16111111111111112,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,5.624999999999999,-1.0,16.375,0.0,0.0,0.0,0.9948979591836735,0,-1.0,-1.0,4.0,0,,
681,2025-04-28,6,52.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,7.5,-1.0,0.0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,1.75,1.5,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.5,0.5384615384615384,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,7.499999999999999,5.750000000000001,14.5,16.25,0.0,0.0,0.0,0.995260663507109,0,-1.0,-1.0,4.0,0,,
671,2025-04-28,5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.811148193050193,13.325168011583012,2.3023587291500918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.811148193050193,13.325168011583012,2.3023587291500918,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,7.916666666666667,-1.0,0.0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0.55,3.066666666666667,0.152073732718894,0.0,0.0,0.0,0.0,0.0,0.0,0.55,3.066666666666667,0.152073732718894,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,7.916666666666669,5.958333333333333,14.083333333333332,16.041666666666668,0.0,0.0,0.0,0.9957627118644068,0,-1.0,-1.0,4.0,0,,
678,2025-04-28,8,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.688888888888889,15.6,1.0410991170817963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.688888888888889,15.6,1.0410991170817963,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,7.0,-1.0,0.0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,7.0,5.499999999999999,15.0,16.5,0.0,0.0,0.0,0.994475138121547,0,-1.0,-1.0,6.983333333333333,0,,
685,2025-04-28,6,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.634666666666667,14.866666666666667,1.2576152078709906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.634666666666667,14.866666666666667,1.2576152078709906,0.0,6.916666666666667,,,,,,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,-1.0,-1.0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,2.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,5.458333333333334,-1.0,16.541666666666664,0.0,0.0,0.0,0.9943181818181818,0,-1.0,-1.0,6.9,0,,
686,2025-04-28,7,80.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.916230366492146,11.483420593368237,2.3025850929940455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.916230366492146,11.483420593368237,2.3025850929940455,0.0,4.0,,,,,,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,-1.0,-1.0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,6.666666666666667,-1.0,15.333333333333332,0.0,0.0,0.0,0.9968847352024922,0,-1.0,-1.0,4.0,0,,
668,2025-04-28,7,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4727927927927928,14.933333333333334,0.8449951249762201,0.0,0.0,0.0,0.0,0.0,4.542222222222222,14.0,1.8666461648839454,0.0,1.0477948717948717,14.933333333333334,0.6267333097045011,0.0,10.166666666666666,12.0,3390.224449528647,0.2,60.0,4.0,0,0.0,0.0,0,0,5,435.4308211415448,0.08333333333333333,60,1,7,3204.8650517611504,0.11666666666666667,60,3,10.166666666666666,-1.0,0.0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,325,0,0,0,0,0,0,1.6666666666666667,4.333333333333333,0.2777777777777778,0.0,0.0,0.0,0.5,0.0,1.0,1.1666666666666667,4.333333333333333,0.21212121212121213,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,7.606915679936245,7.083333333333333,14.393084320063755,14.916666666666668,0.4,0.52,0.12129380053908356,0.876010781671159,-13,-1.0,4.183333333333334,10.15,0,,
670,2025-04-29,7,347.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.6026378896881,41535.0,0.18252197250689828,0.13237410071942446,992.057283950617,41535.0,0.2867192057382192,0.21975308641975308,42.431111111111115,115.0,2.010601838163038,0.03333333333333333,0.009166666666666667,0.6666666666666666,0.15705290722228682,0.0,15.283333333333333,155.0,2144.602655514116,2.5833333333333335,60.0,92.0,144,844.2408180428143,2.4,60,90,9,1135.25327570547,0.15,60,2,2,,0.03333333333333333,60,0,5.066666666666666,6.25,0.0,1390,0,0,0,0,0,0,810,0,0,0,0,0,0,180,0,0,0,0,0,0,400,0,0,0,0,0,0,17.516666666666666,5.466666666666667,0.7621464829586656,11.7,1.5166666666666666,0.8852459016393444,2.816666666666667,0.0,1.0,3.0,3.95,0.4316546762589928,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,14.811496048964903,17.66666666666666,7.188503951035097,4.333333333333339,0.05806451612903226,0.012903225806451613,0.12940330697340044,0.2875629043853343,284,15.283333333333333,21.783333333333335,5.233333333333333,0,,
681,2025-04-29,5,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.8759856630825,71310.0,0.2242275765926477,0.36989247311827955,1992.3727777777779,71310.0,0.32110849178822404,0.5733333333333334,3.6038461538461535,30.0,0.8341363410712989,0.0,0.040659340659340654,0.6923076923076923,0.5647111490813841,0.0,15.116666666666667,130.0,840.7093143071455,2.1666666666666665,60.0,49.0,113,790.6746544985551,1.8833333333333333,60,42,17,895.1787530990669,0.2833333333333333,60,7,0,0.0,0.0,0,0,1.3166666666666667,7.5,11.0,1395,0,0,0,0,0,0,900,0,0,0,0,0,0,180,0,0,0,0,0,0,315,0,0,0,0,0,0,15.483333333333333,7.516666666666667,0.6731884057971014,10.483333333333333,4.266666666666667,0.7107344632768361,3.0,0.0,1.0,2.0,3.25,0.38095238095238093,4,0.09222222222222222,0,0.0,0,0.0,2,1,0,12.916666666666666,9.066666666666666,14.645795371079927,19.124999999999986,7.354204628920073,2.875000000000014,0.13076923076923078,0.0,0.12893982808022922,0.22564469914040114,226,15.116666666666667,23.0,1.5,0,4.0,0.09222222222222222
